mean_intensity,std_intensity,center_brightness,left_right_asymmetry,upper_lower_difference,edge_strength,hotspot_fraction,center_hotspot_fraction,intensity_p95,scan_pattern
0.6017302870750427,0.08808460831642151,0.5652047395706177,0.04740205779671669,0.057596564292907715,0.010007090866565704,0.02923583984375,0.10986328125,0.7176470756530762,Mass-like Pattern
0.579316258430481,0.09117088466882706,0.4815831780433655,0.02453996241092682,0.04748052358627319,0.013727383688092232,0.00439453125,0.010986328125,0.6784313917160034,Localized Nodule-like Pattern
0.5794625282287598,0.0916171669960022,0.48153531551361084,0.02494734153151512,0.0398714542388916,0.013702119700610638,0.004638671875,0.014404296875,0.6823529601097107,Localized Nodule-like Pattern
0.6021891832351685,0.09059100598096848,0.5636221170425415,0.04850930720567703,0.06767481565475464,0.009807395748794079,0.03173828125,0.11767578125,0.7254902124404907,Mass-like Pattern
0.6020452976226807,0.09287329018115997,0.5337545871734619,0.05662482976913452,0.02490377426147461,0.009924781508743763,0.0247802734375,0.081298828125,0.7215686440467834,Mass-like Pattern
0.5744492411613464,0.09339029341936111,0.4615473747253418,0.015057731419801712,0.05009424686431885,0.013119571842253208,0.001220703125,0.00146484375,0.6745098233222961,Normal-like Scan
0.5744966268539429,0.09323135763406754,0.46190065145492554,0.015369849279522896,0.049358069896698,0.012927110306918621,0.001953125,0.00146484375,0.6745098233222961,Normal-like Scan
0.5795972943305969,0.091566301882267,0.47840550541877747,0.02439347840845585,0.0523604154586792,0.013546689413487911,0.005615234375,0.017822265625,0.6823529601097107,Localized Nodule-like Pattern
0.5739850997924805,0.09333918243646622,0.46177810430526733,0.015674784779548645,0.05005556344985962,0.013112637214362621,0.00146484375,0.00048828125,0.6745098233222961,Normal-like Scan
0.6019210815429688,0.08591775596141815,0.5621601343154907,0.053321272134780884,0.037451207637786865,0.010010305792093277,0.0264892578125,0.100341796875,0.7176470756530762,Mass-like Pattern
0.5798265933990479,0.09118829667568207,0.48015183210372925,0.024153169244527817,0.03985476493835449,0.013623826205730438,0.0047607421875,0.0146484375,0.6784313917160034,Localized Nodule-like Pattern
0.5742692351341248,0.09348432719707489,0.4610993266105652,0.015371764078736305,0.04880368709564209,0.012938398867845535,0.0015869140625,0.0,0.6745098233222961,Normal-like Scan
0.5743063688278198,0.09388340264558792,0.4611969590187073,0.015436388552188873,0.050759196281433105,0.013002251274883747,0.00140380859375,0.0,0.6745098233222961,Normal-like Scan
0.6018710136413574,0.08221174031496048,0.5643152594566345,0.04062643647193909,0.02336043119430542,0.009975351393222809,0.02191162109375,0.0830078125,0.7098039388656616,Mass-like Pattern
0.5790281295776367,0.09127391874790192,0.48263251781463623,0.02478218823671341,0.05050414800643921,0.013693572953343391,0.0047607421875,0.014404296875,0.6784313917160034,Localized Nodule-like Pattern
0.579587459564209,0.09159652143716812,0.4741010069847107,0.02372663840651512,0.044419169425964355,0.01352301612496376,0.00396728515625,0.01025390625,0.6784313917160034,Localized Nodule-like Pattern
0.5745229721069336,0.09347745776176453,0.4615521728992462,0.015501013956964016,0.05002540349960327,0.012924404814839363,0.00146484375,0.00146484375,0.6745098233222961,Normal-like Scan
0.5795376896858215,0.09197858721017838,0.4824889302253723,0.024646714329719543,0.038732171058654785,0.01396157406270504,0.00506591796875,0.01708984375,0.6784313917160034,Localized Nodule-like Pattern
0.6023205518722534,0.08791054040193558,0.5630208253860474,0.05078556388616562,0.05751621723175049,0.009953461587429047,0.0255126953125,0.09814453125,0.7137255072593689,Mass-like Pattern
0.6022588014602661,0.08919326215982437,0.5664972066879272,0.03921137750148773,0.06135439872741699,0.009909071028232574,0.03253173828125,0.11865234375,0.7215686440467834,Mass-like Pattern
0.602012038230896,0.10005611181259155,0.5117857456207275,0.05809972807765007,0.03892940282821655,0.009957825765013695,0.0391845703125,0.03857421875,0.7333333492279053,Mass-like Pattern
0.5740097761154175,0.09299690276384354,0.4618901312351227,0.01500028744339943,0.04957062005996704,0.012914074584841728,0.00128173828125,0.000732421875,0.6745098233222961,Normal-like Scan
0.602410078048706,0.09455116093158722,0.5292490124702454,0.05743958801031113,0.0020905137062072754,0.00981174036860466,0.02490234375,0.086181640625,0.7254902124404907,Mass-like Pattern
0.5796036720275879,0.09170497208833694,0.48281535506248474,0.024268535897135735,0.03993755578994751,0.013671496883034706,0.005126953125,0.01708984375,0.6784313917160034,Localized Nodule-like Pattern
0.6021502017974854,0.09499788284301758,0.5261086821556091,0.06120414286851883,0.009837925434112549,0.009958025068044662,0.03094482421875,0.07470703125,0.7254902124404907,Mass-like Pattern
0.5742800235748291,0.09382705390453339,0.46074220538139343,0.015660423785448074,0.049685001373291016,0.013004828244447708,0.0009765625,0.0,0.6745098233222961,Normal-like Scan
0.5734310150146484,0.09410379081964493,0.4596182107925415,0.015265490859746933,0.04943084716796875,0.013182343915104866,0.00067138671875,0.0,0.6745098233222961,Normal-like Scan
0.5791336297988892,0.09116233140230179,0.4819891154766083,0.024391084909439087,0.04001897573471069,0.013738255947828293,0.005126953125,0.013671875,0.6784313917160034,Localized Nodule-like Pattern
0.6003671884536743,0.1118527203798294,0.48938995599746704,0.05942000076174736,0.07398319244384766,0.010112718679010868,0.05010986328125,0.016845703125,0.7607843279838562,Mass-like Pattern
0.5739456415176392,0.0935741737484932,0.4605737030506134,0.015380379743874073,0.04936856031417847,0.01297750324010849,0.0010986328125,0.00048828125,0.6745098233222961,Normal-like Scan
0.579978346824646,0.09190360456705093,0.48094651103019714,0.024283375591039658,0.053907692432403564,0.013715153560042381,0.00457763671875,0.015625,0.6823529601097107,Localized Nodule-like Pattern
0.5740869045257568,0.09353487938642502,0.46106770634651184,0.01565515622496605,0.04999667406082153,0.013022280298173428,0.00164794921875,0.001953125,0.6745098233222961,Normal-like Scan
0.5796123743057251,0.09080184251070023,0.4827895164489746,0.024175668135285378,0.04104149341583252,0.013615764677524567,0.00384521484375,0.01123046875,0.6784313917160034,Localized Nodule-like Pattern
0.5740038156509399,0.09372660517692566,0.4602673053741455,0.015000766143202782,0.05020296573638916,0.012837160378694534,0.00128173828125,0.00146484375,0.6745098233222961,Normal-like Scan
0.6023349165916443,0.08954296261072159,0.5533519387245178,0.058197859674692154,0.0385746955871582,0.010115377604961395,0.02490234375,0.095947265625,0.7137255072593689,Mass-like Pattern
0.6020646691322327,0.08312293142080307,0.565881609916687,0.040329158306121826,0.02926623821258545,0.010114047676324844,0.02239990234375,0.0849609375,0.7098039388656616,Mass-like Pattern
0.5742044448852539,0.09394686669111252,0.46066367626190186,0.015467983670532703,0.050192415714263916,0.013052125461399555,0.00164794921875,0.00146484375,0.6745098233222961,Normal-like Scan
0.5740471482276917,0.09346535801887512,0.46129941940307617,0.015100815333425999,0.04962801933288574,0.012944672256708145,0.0008544921875,0.001220703125,0.6745098233222961,Normal-like Scan
